id,user_id,number_of_friends,percentage_overlap,network_type,created_at,updated_at,data_size,total_size,percentage_overlap_data_size
263,233,82,0.472439545,olin,25:05.0,18:48.7,47614295,468532270,0.101624366
264,233,83,0.472439545,olin,25:12.3,18:48.7,47614295,468532270,0.101624366
266,233,85,0.472439545,olin,25:34.2,18:48.7,47614295,468532270,0.101624366
267,233,86,0.472439545,olin,25:44.4,18:48.7,47614295,468532270,0.101624366
269,233,88,0.475284495,olin,26:00.0,18:49.1,47614295,468532270,0.101624366
270,233,89,0.475284495,olin,26:07.5,18:49.1,47614295,468532270,0.101624366
271,233,90,0.476529161,olin,26:18.9,18:49.1,49469422,468532270,0.10558381
272,233,91,0.480085349,olin,26:28.5,18:49.3,49487004,468532270,0.105621335
275,233,94,0.480440967,olin,26:53.2,18:49.3,49491741,468532270,0.105631446
284,233,103,0.484886202,olin,28:36.9,18:49.5,49569997,468532270,0.105798469
276,233,95,0.480440967,olin,27:04.3,18:49.3,49491741,468532270,0.105631446
281,233,100,0.480440967,olin,27:56.9,18:49.3,49491741,468532270,0.105631446
279,233,98,0.480440967,olin,27:35.3,18:49.3,49491741,468532270,0.105631446
273,233,92,0.480440967,olin,26:36.8,18:49.3,49491741,468532270,0.105631446
277,233,96,0.480440967,olin,27:13.5,18:49.3,49491741,468532270,0.105631446
280,233,99,0.480440967,olin,27:45.0,18:49.3,49491741,468532270,0.105631446
283,233,102,0.484886202,olin,28:27.7,18:49.5,49569997,468532270,0.105798469
286,238,2,0.154346447,olin,28:39.0,18:30.9,12399580,273512330,0.045334629
405,289,2,0,olin,44:36.3,15:58.3,0,457353900,0
407,289,4,0,olin,44:42.2,15:58.3,0,457353900,0
408,289,5,0,olin,44:46.9,15:58.3,0,457353900,0
409,289,6,0,olin,44:49.3,15:58.3,0,457353900,0
412,289,9,0.013675502,olin,44:57.1,18:28.9,175265,457353900,0.000383215
413,289,10,0.013675502,olin,44:58.4,18:28.9,175265,457353900,0.000383215
414,289,11,0.109741685,olin,44:59.7,18:29.5,17620885,457353900,0.038527899
417,289,14,0.109741685,olin,45:06.8,18:29.5,17620885,457353900,0.038527899
416,289,13,0.109741685,olin,45:04.8,18:29.5,17620885,457353900,0.038527899
418,289,15,0.119365187,olin,45:08.7,18:29.7,19791050,457353900,0.043272945
419,289,16,0.119365187,olin,45:11.0,18:29.7,19791050,457353900,0.043272945
421,289,18,0.124936687,olin,45:16.3,18:29.8,19848425,457353900,0.043398395
422,289,19,0.124936687,olin,45:18.4,18:29.8,19848425,457353900,0.043398395
423,289,20,0.124936687,olin,45:21.6,18:29.8,19848425,457353900,0.043398395
425,289,22,0.124936687,olin,45:59.1,18:29.8,19842839,457353900,0.043386181
298,238,14,0.397366751,olin,29:10.3,18:45.3,65102365,273512330,0.238023511
318,238,34,0.435596447,olin,30:24.6,18:46.8,77132726,273512330,0.282008222
320,238,36,0.435913706,olin,30:34.5,18:46.8,77132726,273512330,0.282008222
321,238,37,0.435913706,olin,30:39.5,18:46.8,77132726,273512330,0.282008222
322,238,38,0.435913706,olin,30:43.9,18:46.8,77132726,273512330,0.282008222
324,238,40,0.436389594,olin,30:55.1,18:46.9,77132726,273512330,0.282008222
325,238,41,0.436865482,olin,31:00.1,18:46.9,77138830,273512330,0.28203054
326,238,42,0.437182741,olin,31:05.4,18:46.9,77146537,273512330,0.282058717
327,238,43,0.437341371,olin,31:10.7,18:46.9,77146537,273512330,0.282058717
328,238,44,0.4375,olin,31:15.7,18:46.9,77146537,273512330,0.282058717
330,238,46,0.438293147,olin,31:27.3,18:47.0,77151257,273512330,0.282075974
331,238,47,0.440831218,olin,31:33.1,18:47.1,77166420,273512330,0.282131413
333,238,49,0.447176396,olin,31:43.8,18:47.3,77887401,273512330,0.284767422
334,238,50,0.447176396,olin,31:50.0,18:47.3,77887401,273512330,0.284767422
335,238,51,0.447176396,olin,31:55.3,18:47.3,77887401,273512330,0.284767422
336,238,52,0.447176396,olin,32:04.8,18:47.3,77887401,273512330,0.284767422
337,238,53,0.447176396,olin,32:10.9,18:47.3,77887401,273512330,0.284767422
338,238,54,0.447810914,olin,32:17.2,18:47.3,77892264,273512330,0.284785201
340,238,56,0.447969543,olin,32:29.3,18:47.3,77896928,273512330,0.284802254
342,238,58,0.44876269,olin,32:48.4,18:47.4,77917506,273512330,0.28487749
343,238,59,0.44876269,olin,32:55.3,18:47.4,77917506,273512330,0.28487749
344,238,60,0.450031726,olin,33:02.9,18:47.4,78647599,273512330,0.287546814
345,238,61,0.450190355,olin,33:10.0,18:47.4,78647599,273512330,0.287546814
346,238,62,0.452728426,olin,33:17.0,18:47.5,78647599,273512330,0.287546814
347,238,63,0.463515228,olin,33:24.7,18:48.1,78782092,273512330,0.288038539
350,238,66,0.467005076,olin,33:40.3,18:48.4,78854569,273512330,0.288303525
351,238,67,0.468432741,olin,33:48.1,18:48.5,79648946,273512330,0.291207881
352,238,68,0.468591371,olin,33:55.4,18:48.5,79653366,273512330,0.291224041
353,238,69,0.469384518,olin,34:04.2,18:48.5,79660446,273512330,0.291249926
354,238,70,0.469384518,olin,34:12.1,18:48.5,79660446,273512330,0.291249926
355,238,71,0.469701777,olin,34:20.0,18:48.6,79660446,273512330,0.291249926
356,238,72,0.469701777,olin,34:27.2,18:48.6,79660446,273512330,0.291249926
358,238,74,0.469701777,olin,34:51.0,18:48.6,79660446,273512330,0.291249926
360,238,76,0.469860406,olin,35:24.3,18:48.6,79664487,273512330,0.291264701
361,238,77,0.470494924,olin,35:34.3,18:48.6,79727278,273512330,0.291494274
362,238,78,0.478267766,olin,35:42.6,18:49.2,86612627,273512330,0.31666809
363,238,79,0.478267766,olin,35:52.0,18:49.2,86612627,273512330,0.31666809
364,238,80,0.479219543,olin,36:00.8,18:49.2,86621313,273512330,0.316699847
365,238,81,0.479219543,olin,36:16.9,18:49.2,86621313,273512330,0.316699847
367,238,83,0.481281726,olin,36:47.9,18:49.3,86638180,273512330,0.316761515
368,238,84,0.481281726,olin,37:00.3,18:49.3,86638180,273512330,0.316761515
370,238,86,0.481281726,olin,37:27.4,18:49.3,86638180,273512330,0.316761515
371,238,87,0.481281726,olin,37:37.4,18:49.3,86638180,273512330,0.316761515
372,238,88,0.481281726,olin,37:48.4,18:49.4,86638180,273512330,0.316761515
373,238,89,0.482233503,olin,37:59.5,18:49.4,86638180,273512330,0.316761515
375,238,91,0.484771574,olin,38:27.8,18:49.5,86683183,273512330,0.316926052
376,238,92,0.484930203,olin,38:38.6,18:49.5,86683183,273512330,0.316926052
377,238,93,0.484930203,olin,39:00.9,18:49.5,86683183,273512330,0.316926052
378,238,94,0.484930203,olin,39:16.1,18:49.5,86683183,273512330,0.316926052
380,238,96,0.492544416,olin,39:46.0,18:49.9,86660887,273512330,0.316844535
381,238,97,0.493972081,olin,39:57.0,18:49.9,86660887,273512330,0.316844535
382,238,98,0.494130711,olin,40:10.1,18:49.9,86660887,273512330,0.316844535
384,238,100,0.494130711,olin,40:38.1,18:49.9,86660887,273512330,0.316844535
385,238,101,0.494130711,olin,40:49.8,18:49.9,86660887,273512330,0.316844535
386,238,102,0.494130711,olin,41:00.6,18:49.9,86660887,273512330,0.316844535
387,238,103,0.494130711,olin,41:19.4,18:49.9,86660887,273512330,0.316844535
388,238,104,0.49444797,olin,41:37.2,18:50.0,86674962,273512330,0.316895995
390,238,106,0.49444797,olin,41:59.0,18:50.0,86674962,273512330,0.316895995
391,238,107,0.49444797,olin,42:09.0,18:50.0,86674962,273512330,0.316895995
393,238,109,0.49444797,olin,42:29.9,18:50.0,86674962,273512330,0.316895995
394,238,110,0.49444797,olin,42:41.6,18:50.0,86674962,273512330,0.316895995
395,238,111,0.49444797,olin,42:51.7,18:50.0,86678733,273512330,0.316909782
396,238,112,0.49444797,olin,43:03.3,18:50.0,86678733,273512330,0.316909782
397,238,113,0.494606599,olin,43:16.0,18:50.0,86678733,273512330,0.316909782
398,238,114,0.563134518,olin,43:28.0,18:51.9,104905879,273512330,0.383550822
402,238,118,0.565513959,olin,44:13.3,18:52.0,104925540,273512330,0.383622705
403,238,119,0.565513959,olin,44:25.0,18:52.0,104925540,273512330,0.383622705
411,289,8,0.013675502,olin,44:55.4,18:28.9,175265,457353900,0.000383215
497,1200,4,0.112997658,olin,54:51.2,18:29.5,3932136,52989410,0.074206072
498,1200,5,0.118852459,olin,54:51.7,18:29.7,3959839,52989410,0.074728875
499,1200,6,0.118852459,olin,54:52.1,18:29.7,3959839,52989410,0.074728875
428,289,25,0.124430187,olin,46:09.4,18:29.8,19842839,457353900,0.043386181
427,289,24,0.124430187,olin,46:05.4,18:29.8,19842839,457353900,0.043386181
429,289,26,0.128144521,olin,46:13.3,18:29.9,19858194,457353900,0.043419754
426,289,23,0.124430187,olin,46:02.5,18:29.8,19842839,457353900,0.043386181
485,289,82,0.128819855,olin,53:24.0,18:29.9,19916712,457353900,0.043547703
468,289,65,0.129495188,olin,50:46.4,18:29.9,19913680,457353900,0.043541074
486,289,83,0.128819855,olin,53:34.4,18:29.9,19916712,457353900,0.043547703
484,289,81,0.128819855,olin,53:12.9,18:29.9,19916712,457353900,0.043547703
487,289,84,0.128819855,olin,53:43.5,18:29.9,19916712,457353900,0.043547703
483,289,80,0.128819855,olin,53:03.0,18:29.9,19916712,457353900,0.043547703
432,289,29,0.128819855,olin,46:24.1,18:29.9,19873407,457353900,0.043453017
